"30145"|"182"|"אבן יהודה"|"1"|"תל אביב"|"1"|"תחנה רגילה"|"1"|"מפעילי אוטובוסים"|"32.276755"|"34.890172"
"30147"|"182"|"אבן יהודה"|"1"|"תל אביב"|"1"|"תחנה רגילה"|"1"|"מפעילי אוטובוסים"|"32.275723"|"34.888980"
"30148"|"182"|"אבן יהודה"|"1"|"תל אביב"|"1"|"תחנה רגילה"|"1"|"מפעילי אוטובוסים"|"32.275818"|"34.888751"
"30151"|"182"|"אבן יהודה"|"1"|"תל אביב"|"1"|"תחנה רגילה"|"1"|"מפעילי אוטובוסים"|"32.270487"|"34.877189"
"30259"|"182"|"אבן יהודה"|"1"|"תל אביב"|"1"|"תחנה רגילה"|"1"|"מפעילי אוטובוסים"|"32.281938"|"34.881541"
"30260"|"182"|"אבן יהודה"|"1"|"תל אביב"|"1"|"תחנה רגילה"|"1"|"מפעילי אוטובוסים"|"32.264579"|"34.882372"
"30267"|"182"|"אבן יהודה"|"1"|"תל אביב"|"1"|"תחנה רגילה"|"1"|"מפעילי אוטובוסים"|"32.274136"|"34.887049"
"30273"|"182"|"אבן יהודה"|"1"|"תל אביב"|"1"|"תחנה רגילה"|"1"|"מפעילי אוטובוסים"|"32.260290"|"34.888202"
"30280"|"182"|"אבן יהודה"|"1"|"תל אביב"|"1"|"תחנה רגילה"|"1"|"מפעילי אוטובוסים"|"32.279288"|"34.889990"
"30302"|"182"|"אבן יהודה"|"1"|"תל אביב"|"1"|"תחנה רגילה"|"1"|"מפעילי אוטובוסים"|"32.268662"|"34.893857"
"30304"|"182"|"אבן יהודה"|"1"|"תל אביב"|"1"|"תחנה רגילה"|"1"|"מפעילי אוטובוסים"|"32.269952"|"34.894243"
"30387"|"182"|"אבן יהודה"|"1"|"תל אביב"|"1"|"תחנה רגילה"|"1"|"מפעילי אוטובוסים"|"32.269831"|"34.879811"
"33063"|"182"|"אבן יהודה"|"1"|"תל אביב"|"1"|"תחנה רגילה"|"1"|"מפעילי אוטובוסים"|"32.264420"|"34.883932"
"33732"|"182"|"אבן יהודה"|"1"|"תל אביב"|"1"|"תחנה רגילה"|"1"|"מפעילי אוטובוסים"|"32.266673"|"34.879252"
"34837"|"182"|"אבן יהודה"|"1"|"תל אביב"|"1"|"תחנה רגילה"|"1"|"מפעילי אוטובוסים"|"32.255433"|"34.874208"
"36475"|"182"|"אבן יהודה"|"1"|"תל אביב"|"1"|"תחנה רגילה"|"1"|"מפעילי אוטובוסים"|"32.255033"|"34.889661"
"36476"|"182"|"אבן יהודה"|"1"|"תל אביב"|"1"|"תחנה רגילה"|"1"|"מפעילי אוטובוסים"|"32.254084"|"34.889198"
"36477"|"182"|"אבן יהודה"|"1"|"תל אביב"|"1"|"תחנה רגילה"|"1"|"מפעילי אוטובוסים"|"32.254997"|"34.888219"
"36478"|"182"|"אבן יהודה"|"1"|"תל אביב"|"1"|"תחנה רגילה"|"1"|"מפעילי אוטובוסים"|"32.255189"|"34.880554"
"36479"|"182"|"אבן יהודה"|"1"|"תל אביב"|"1"|"תחנה רגילה"|"1"|"מפעילי אוטובוסים"|"32.255544"|"34.878822"
"36939"|"182"|"אבן יהודה"|"1"|"תל אביב"|"1"|"תחנה רגילה"|"1"|"מפעילי אוטובוסים"|"32.274728"|"34.892436"
"36940"|"182"|"אבן יהודה"|"1"|"תל אביב"|"1"|"תחנה רגילה"|"1"|"מפעילי אוטובוסים"|"32.273603"|"34.892365"
"36942"|"182"|"אבן יהודה"|"1"|"תל אביב"|"1"|"תחנה רגילה"|"1"|"מפעילי אוטובוסים"|"32.266942"|"34.890050"
"36944"|"182"|"אבן יהודה"|"1"|"תל אביב"|"1"|"תחנה רגילה"|"1"|"מפעילי אוטובוסים"|"32.269432"|"34.891909"
"36948"|"182"|"אבן יהודה"|"1"|"תל אביב"|"1"|"תחנה רגילה"|"1"|"מפעילי אוטובוסים"|"32.273623"|"34.893772"
"36949"|"182"|"אבן יהודה"|"1"|"תל אביב"|"1"|"תחנה רגילה"|"1"|"מפעילי אוטובוסים"|"32.265392"|"34.890188"
"37870"|"182"|"אבן יהודה"|"1"|"תל אביב"|"1"|"תחנה רגילה"|"1"|"מפעילי אוטובוסים"|"32.264420"|"34.883240"
"38439"|"182"|"אבן יהודה"|"1"|"תל אביב"|"1"|"תחנה רגילה"|"1"|"מפעילי אוטובוסים"|"32.280874"|"34.890913"
"38609"|"182"|"אבן יהודה"|"1"|"תל אביב"|"1"|"תחנה רגילה"|"1"|"מפעילי אוטובוסים"|"32.264224"|"34.885193"
"38610"|"182"|"אבן יהודה"|"1"|"תל אביב"|"1"|"תחנה רגילה"|"1"|"מפעילי אוטובוסים"|"32.285055"|"34.883077"
"38614"|"182"|"אבן יהודה"|"1"|"תל אביב"|"1"|"תחנה רגילה"|"1"|"מפעילי אוטובוסים"|"32.265762"|"34.877251"
"38615"|"182"|"אבן יהודה"|"1"|"תל אביב"|"1"|"תחנה רגילה"|"1"|"מפעילי אוטובוסים"|"32.274010"|"34.883082"
